Case #1: 3
Case #2: 3
Case #3: 3
Case #4: 3
Case #5: 3
Case #6: 2
Case #7: 3
Case #8: 3
Case #9: 3
Case #10: 2
Case #11: 3
Case #12: 2
Case #13: 2
Case #14: 3
Case #15: 4
Case #16: 2
Case #17: 3
Case #18: 3
Case #19: 5
Case #20: 3
Case #21: 3
Case #22: 2
Case #23: 3
Case #24: 2
Case #25: 4
Case #26: 3
Case #27: 3
Case #28: 3
Case #29: 4
Case #30: Impossible
Case #31: 3
Case #32: Impossible
Case #33: 2
Case #34: 3
Case #35: 2
Case #36: 3
Case #37: 3
Case #38: 4
Case #39: 3
Case #40: 5
Case #41: 3
Case #42: 2
Case #43: 2
Case #44: 5
Case #45: 3
Case #46: 5
Case #47: 2
Case #48: 3
Case #49: 3
Case #50: Impossible
Case #51: 3
Case #52: 3
Case #53: 3
Case #54: 3
Case #55: 3
Case #56: 3
Case #57: 3
Case #58: 3
Case #59: 3
Case #60: Impossible
Case #61: 2
Case #62: 3
Case #63: 3
Case #64: Impossible
Case #65: 3
Case #66: Impossible
Case #67: 3
Case #68: 4
Case #69: 3
Case #70: 3
Case #71: 3
Case #72: 3
Case #73: 3
Case #74: 2
Case #75: 3
Case #76: 3
Case #77: 3
Case #78: 2
Case #79: 3
Case #80: 7
Case #81: 3
Case #82: 3
Case #83: 5
Case #84: 4
Case #85: 3
Case #86: 3
Case #87: 2
Case #88: 3
Case #89: Impossible
Case #90: 4
Case #91: Impossible
Case #92: 4
Case #93: Impossible
Case #94: 3
Case #95: 4
Case #96: 3
Case #97: 3
Case #98: Impossible
Case #99: 3
Case #100: 3
